Location,TL,Name,Tissue,Weight,Fibers,Fragments,Films,MP_pergram,Habitat
Malvan,TL1,Prawns,Hepatopan,0.88,13,0,0,14.77,Benthic
Malvan,TL1,Prawns,Hepatopan,0.83,12,0,0,14.46,Benthic
Malvan,TL1,Prawns,Hepatopan,0.75,9,0,0,12,Benthic
Malvan,TL1,Prawns,Hepatopan,0.81,7,0,0,8.641975309,Benthic
Malvan,TL1,Prawns,Hepatopan,0.73,8,0,0,10.95890411,Benthic
Malvan,TL1,Prawns,Hepatopan,0.98,8,0,0,8.16,Benthic
Malvan,TL1,Prawns,Whole body,1.01,4,0,0,6.67,Benthic
Malvan,TL1,Prawns,Whole body,1.41,11,0,0,26.83,Benthic
Malvan,TL1,Prawns,Whole body,1.16,9,0,0,7.75862069,Benthic
Malvan,TL1,Prawns,Whole body,1.27,6,0,0,4.724409449,Benthic
Malvan,TL1,Tonguefish,Gut,4.26,0,0,0,0,Benthic
Malvan,TL1,Tonguefish,Gut,3.56,0,0,0,0,Benthic
Malvan,TL1,Tonguefish,Gut,3.93,0,0,0,0,Benthic
Malvan,TL1,Tonguefish,Gut,4.42,0,0,0,0,Benthic
Malvan,TL1,Tonguefish,Gut,3.78,0,0,0,0,Benthic
Malvan,TL1,Tonguefish,Liver,3.19,0,0,0,0,Benthic
Malvan,TL2,Tonguefish,Liver,2.86,0,0,0,0,Benthic
Malvan,TL3,Tonguefish,Liver,3.29,0,0,0,0,Benthic
Malvan,TL1,Tonguefish,Liver,3.76,0,0,0,0,Benthic
Malvan,TL1,Tonguefish,Liver,3.4,0,0,0,0,Benthic
Malvan,TL1,Indian anchovy,Gut,1.03,7,0,0,6.8,Pelagic
Malvan,TL1,Indian anchovy,Gut,0.21,2,0,0,9.52,Pelagic
Malvan,TL1,Indian anchovy,Gut,0.29,3,0,0,10.34,Pelagic
Malvan,TL1,Indian anchovy,Liver,0.26,3,0,0,11.54,Pelagic
Malvan,TL1,Indian anchovy,Liver,0.37,3,0,0,8.11,Pelagic
Malvan,TL2,Indian anchovy,Liver,0.51,4,0,0,7.843137255,Pelagic
Malvan,TL3,Indian anchovy,Liver,0.33,2,0,0,6.060606061,Pelagic
Malvan,TL4,Indian anchovy,Liver,0.42,4,0,0,9.523809524,Pelagic
Malvan,TL1,Goldstripe sardinella,Gut,2.5,0,0,0,0,Pelagic
Malvan,TL1,Goldstripe sardinella,Gut,4.14,1,0,0,0.24,Pelagic
Malvan,TL2,Goldstripe sardinella,Gut,3.55,1,0,0,0.281690141,Pelagic
Malvan,TL3,Goldstripe sardinella,Gut,4.28,0,0,0,0,Pelagic
Malvan,TL4,Goldstripe sardinella,Gut,4.39,1,0,0,0.227790433,Pelagic
Malvan,TL1,Goldstripe sardinella,Liver,2.75,3,0,0,1.09,Pelagic
Malvan,TL1,Goldstripe sardinella,Liver,3.06,1,0,0,0.33,Pelagic
